Product Name,Purpose,RAM,SSD,Operating System,Price,Product Rating
Huawei MateBook D16 i5 12450H / 8ГБ / 512SSD / 16.1 / Win11 / (MitchellF-W5851),For study,8.0,512.0,Win11,329 990 ₸,4.3
Asus VivoBook 16 i5 13500H / 32ГБ / 1000SSD / 16 / DOS / (X1605VA-MB862),For study,32.0,1000.0,DOS,369 990 ₸,
Asus ROG Zephyrus G16 Ryzen 9 HX 370 / 16ГБ / 1000SSD / RTX4060 8ГБ / 16 / DOS / (GA605WV-QR077),For game,16.0,1000.0,DOS,1 199 990 ₸,
HP 15s-eq2023ci Ryzen 7 5700U / 16GB / 512SSD / DOS / 15.6 / (A19WGEA),For study,,512.0,DOS,269 990 ₸,
Asus TUF Gaming A15 Ryzen 7 7435HS / 16ГБ / 512SSD / RTX4050 6 ГБ / 15.6 / DOS / (FA507NUR-LP026),For game,16.0,512.0,DOS,474 990 ₸,
"15,6'' HP 15s-eq2004ci (Ryzen 5 5500U / 8Гб / 512SSD)(7A5N6EA)",For study,8.0,512.0,Win11,269 990 ₸,
Asus Vivobook 17X i5 13500H / 16ГБ / 512SSD / 17.3 / DOS / (K3704VA-AU051),For study,16.0,512.0,DOS,318 990 ₸,
Apple MacBook Air Midnight M2 / 8ГБ / 256SSD / 13.6 / Mac OS Monterey / (MLY33RU/A),For study,8.0,256.0,MacOS,499 990 ₸,4.8
Lenovo IdeaPad Slim 3 15IAH8 i5 12450H / 16ГБ / SSD 512ГБ / DOS / 16 / (83ES002RRK),For study,16.0,,DOS,279 990 ₸,
Ультрабук Asus Vivobook S 16 OLED Copilot+ PC/ Ryzen 9 HX 370 / 32GB / SSD 1TB / 16 / (M5606WA-MX076W),Both,,,WIn11,787 990 ₸,
Asus Vivobook 16X Ci7 12700H / 16GB / SSD 512GB / RTX 3050 4GB / 16 / (K3605ZC-RP619),For study,,,WIn11,418 990 ₸,
Lenovo IdeaPad Slim 5 16IAH8 i5 12450H / 16ГБ / 512SSD /16/ Win 11 / (83BG005GRK),For study,16.0,512.0,Win11,389 990 ₸,
HP 15-fc0057ci Ryzen 5 7520U / 16GB / SSD512 / DOS / 15.6 / (A19W9EA),For study,,,DOS,259 990 ₸,
HP 15-fc0053ci Ryzen 7 7730U / 16GB / 512SSD / DOS / 15.6 / (A9DT6EA),For study,,512.0,DOS,289 990 ₸,
Lenovo Legion 5 16IRX9 Ci5 13450HX / 16GB / SSD 512GB / RTX4060 8GB / DOS / 16 / (83DG00DXRK),For game,,,DOS,749 990 ₸,
Acer Aspire 5 A515-58P-368Y i3 1315U/ 8ГБ /512SSD /15.6 /DOS /(NX.KHJER.002),For study,8.0,512.0,DOS,229 990 ₸,
HP OMEN 16-wd0000ci i5 13420H / 16ГБ / 512SSD / RTX4050 6ГБ / 16.1 / Win 11 / (81C39EA),For game,16.0,512.0,Win11,529 990 ₸,5.0
Ультрабук Asus Zenbook 14 OLED U5 125H / 16ГБ / 512SSD / 14 / DOS / (UX3405MA-QD493),Both,16.0,512.0,DOS,499 990 ₸,
Ультрабук Asus Zenbook 14 OLED U5 125H / 16ГБ / 512SSD / 14 / DOS / (UX3405MA-QD625),Both,16.0,512.0,DOS,454 990 ₸,4.5
Asus TUF Gaming A15 Ryzen 5 7535HS / 16ГБ / 512SSD / RTX2050 4ГБ / 15.6 / DOS / (FA506NF-HN060),For game,16.0,512.0,DOS,389 990 ₸,5.0
Lenovo Legion Pro 5 16ARX8 Ryzen 7 7745HX / 16GB / SSD 1TB / RTX4060 8GB / DOS / 16 / (82WM00FPRK),For game,,,DOS,799 990 ₸,
Gigabyte AORUS 15 9KF i5 12500H/ 16ГБ / 512SSD / RTX4060 8ГБ / 15.6 / Win11 / (AORUS 15 9KF-E3KZ353SH),For game,16.0,512.0,Win11,619 990 ₸,1.0
Apple MacBook Pro Space Grey M2 / 8ГБ / 256SSD / 13.3 / Mac OS Monterey / (MNEH3RU/A),For study,8.0,256.0,MacOS,499 990 ₸,5.0
Asus VivoBook 17 i7 1355U / 16ГБ / 1000SSD / 17.3 / DOS / (X1704VA-AU378),For study,16.0,1000.0,DOS,372 990 ₸,5.0
Asus ExpertBook B1 i3 1215U / 8ГБ / 256SSD / 14 / Win11 / (B1400CBA-EB0766W),For study,8.0,256.0,Win11,259 990 ₸,
Asus Vivobook Pro 15 OLED U7 155H / 24GB / SSD 1TGB / RTX 4060 8GB / DOS / 15 / (N6506MV-MA150),For study,,,DOS,799 990 ₸,
Apple MacBook Air Space Grey 2024 M3 / 8ГБ / 256SSD / 13 / Mac OS Sonoma / (MRXN3RU/A),For study,8.0,256.0,MacOS,719 990 ₸,5.0
Lenovo IdeaPad Slim 3 15IAH8 i5 12450H / 8ГБ / SSD 512ГБ / DOS / (83ER00DKRK),For study,8.0,,DOS,279 990 ₸,
Apple MacBook Pro Space Grey M3 / 8ГБ / 512SSD / 14.2 / Mac OS Sonoma / (MTL73RU/A),For study,8.0,512.0,MacOS,1 019 990 ₸,
Ультрабук Asus Zenbook S 16 OLED Copilot+ PC/ Ryzen 9 HX 370 / 32ГБ / 1000SSD / 16 / Win11 / (UM5606WA-RK279W),Both,32.0,1000.0,Win11,989 990 ₸,
Apple MacBook Air Space Grey M2 / 8ГБ / 512SSD / 13.6 / Mac OS Monterey / (MLXX3RU/A),For study,8.0,512.0,MacOS,649 990 ₸,
HP 15-fc0056ci Ryzen 5 7520U / 8GB / SSD512 / Win11 / 15.6 / (B49DSEA),For study,,,Win11,269 990 ₸,
Asus Vivobook 17 Ci3 1315U / 8GB / SSD 512GB / 17 / DOS / (X1704VA-AU467),For study,,,DOS,254 990 ₸,
HP Victus 15-fa1062ci i5 12450H / 16ГБ / 512SSD / RTX2050 4ГБ / 15.6 / DOS / (AE0S6EA),For study,16.0,512.0,DOS,389 990 ₸,
Lenovo Yoga Pro 7 14AHP9 Ryzen 7 8845HS / 16GB / SSD 1TB / Win11 / (83E3001PRU),For study,,,Win11,599 990 ₸,
Ультрабук Asus Zenbook 14 Ryzen 5 7430U/ 16ГБ / 512SSD / 14 / DOS / (UM3402YA-KP829),Both,16.0,512.0,DOS,399 990 ₸,
HP ENVY x360 13-bf0026ci i7 1250U/ 16ГБ / 512SSD / 13.3 / Win11 / (809P4EA),For study,16.0,512.0,Win11,599 990 ₸,5.0
Asus Vivobook 16X Ci5 12500H / 16ГБ / 512 SSD / 16 / DOS / (K3605ZF-MB244),For study,16.0,512.0,DOS,345 990 ₸,5.0
Huawei MateBook D16 i5 13420H / 16ГБ / 512SSD / 16.1 / Win11 / (MitchellG-W5651),For study,16.0,512.0,Win11,399 990 ₸,5.0
Asus TUF Gaming F17 i7 13620H / 16ГБ / 1000SSD / RTX4070 8ГБ / 17.3 / DOS / (FX707VI-LL055),For game,16.0,1000.0,DOS,854 990 ₸,
